"Worksheets Name","Activity Order","LEVEL","Multiple Choice","PDF LINK","Tutor Activity Level","Welsh","PDF EMBED","PDF Link","Activity Month","Activity Score Profile","Text Formula","PDFLink","LOW Score","MID Score","HIGH Score","Record ID"
"20 Questions","1","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><span style=""color:rgb(227, 108, 9)""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V1-20 Questions.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
	</span>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V1-20%20Questions.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V1-20%20Questions.pdf","September","All","VI31","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V1-20%20Questions.pdf","","","","608513b0099247001c9b3aac"
"Motivation Diamond","1","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - MotivationD.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20MotivationD.pdf"" width=""100%"" height=""1200"">
</iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20MotivationD.pdf","September","All","VI21","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20MotivationD.pdf","","","","608514d1119807001b7415c4"
"V1-Ugain Cwestiwn","1","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V1-Ugain%20Cwestiwn.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V1-Ugain%20Cwestiwn.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V1-Ugain%20Cwestiwn.pdf","September","All","VI31","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V1-Ugain%20Cwestiwn.pdf","","","","645d53afe06f930b58f98968"
"Proactive vs Reactive","1","","EFFORT","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Proactive%20vs%20Reactive%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Proactive%20vs%20Reactive%28editable%29.pdf","September","Low-Mid","EF1","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Proactive%20vs%20Reactive%28editable%29.pdf","Yes","Yes","","670fd72b7a774b02cea96da3"
"Personal Compass","2","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - Personal Compass.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Personal%20Compass.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Personal%20Compass.pdf","September","Low","VI22","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Personal%20Compass.pdf","Yes","","","608514f6919162001b6e242c"
"E1-Y Raddfa 1–10","2","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E1-Y%20Raddfa%201%E2%80%9310.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E1-Y%20Raddfa%201%E2%80%9310.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E1-Y%20Raddfa%201%E2%80%9310.pdf","September","Low-Mid","EF32","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E1-Y%20Raddfa%201%E2%80%9310.pdf","Yes","Yes","","645d5366e06f930b58f987cf"
"1-10 Scale","2","3","EFFORT","","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E1-1-10%20Scale.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E1-1-10%20Scale.pdf","September","Low-Mid","EF32","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E1-1-10%20Scale.pdf","Yes","Yes","","670fd7277a774b02cea9691e"
"Night School","2","","SYSTEMS","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Night%20School.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Night%20School.pdf","September","Mid-High","SY2","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Night%20School.pdf","","Yes","Yes","670fd72b7a774b02cea96dad"
"Mission and Medal","3","2","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT - Mision & Medal.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Mision%20%26%20Medal.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Mision%20%26%20Medal.pdf","May","High","EF23","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Mision%20%26%20Medal.pdf","","","Yes","608ae518649eb4001b1636ba"
"A6-Y Gromlin Newid","3","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A6-Y%20Gromlin%20Newid.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A6-Y%20Gromlin%20Newid.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A6-Y%20Gromlin%20Newid.pdf","September","Mid-High","AT33","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A6-Y%20Gromlin%20Newid.pdf","","Yes","Yes","645d53a4e06f930b58f988ff"
"Change Curve","3","3","ATTITUDE","","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A6-Change%20Curve.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A6-Change%20Curve.pdf","September","Mid-High","AT33","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A6-Change%20Curve.pdf","","Yes","Yes","670fd7257a774b02cea9684f"
"20 More Questions","3","","VISION","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%2020%20More%20Questions%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%2020%20More%20Questions%28editable%29.pdf","September","All","VI3","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%2020%20More%20Questions%28editable%29.pdf","","","","670fd72b7a774b02cea96db7"
