Origin,Activity ID,Vespa Category,Activity Name_en,Activity Name_cy,Month,Book,Activity Slides_en,Activity PDF_en,Activity Slides_cy,Activity PDF_cy,Welsh,Record ID
ALevel Mindset,89,Practice,2 Slow 1 Fast,2 Araf 1 Cyflym,April,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vRsktcpCscBFf1UC4Z24R4z3fTbTa4estvnXzEHGLBNU7CXPkBIVk1bz4BxSCoUdNKdsHRDj5jpsrx7/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P5-2%20Slow%2C1%20Fast.pdf"" target=""_blank""><span style=""color:rgb(128, 100, 162)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607f3f48e913fa001c6acde1
ALevel Mindset,88,Practice,The Leitner Box,Blwch Leitner,April,ALevel Mindset,"<iframe src=""https://vespa-academy.slides.com/vespaslides/leitnerbox/embed?token=xnRiwm7A"" width=""576"" height=""420"" title=""Practice - Leitner Box"" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P4-Leitner Box.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607f3f31c95d72001ecc1c3f
VESPA Handbook,216,Vision,6 Types of Goal,6 Math o Nod,September,VESPA Handbook,"<iframe src=""https://vespa-academy.slides.com/vespaslides/effort-disruption-cost-deep-work/embed?token=LWUwh5YB"" width=""576"" height=""420"" title=""EFFORT - Six Types of Goal"" allowfullscreen>
</iframe>",,,,No,66e31b4b81c24402cfe24c29
VESPA Handbook,214,Attitude,Worst Case Scenarios,Senarios Gwaethaf,April,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/ATTITUDE/worstcasescenarios/slides.html"" width=""576"" height=""420"" title=""ATTITUDE - Worst Case Scenarios"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Worst%20Case%20Scenarios%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d61650e5
VESPA Handbook,213,Attitude,The Myth of the Curve,Myth y Gromlin,March,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/ATTITUDE/themythofthecurve/slides.html"" width=""576"" height=""420"" title=""ATTITUDE - The Myth of the Curve"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20The%20Myth%20of%20the%20Curve%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,"<iframe src=""https://slides.com/vespaslides/y-gromlin-newid/embed?token=B4KAqni4;mouseWheel=true"" width=""576"" height=""420"" title=""Myth y Gromlin"" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A6-Y%20Gromlin%20Newid.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LAWRLWYTHWCH PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />",,Yes,66cb9078ae5c8a02d61650de
VESPA Handbook,212,Attitude,Think Three Positives,Meddwl am Dri Phositif,January,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/ATTITUDE/thinkthreepositives/slides.html"" width=""576"" height=""420"" title=""ATTITUDE - Think Three Positives"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Think%20Three%20Positives%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d61650d7
VESPA Handbook,211,Attitude,O.D.A,O.D.A,December,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/ATTITUDE/O.D.A/slides.html"" width=""576"" height=""420"" title=""ATTITUDE - O.D.A"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20ODA%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d61650d0
VESPA Handbook,210,Attitude,"5,5,5","5,5,5",Febuary,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/ATTITUDE/555/slides.html"" width=""576"" height=""420"" title=""ATTITUDE - 5,5,5"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%205%2C5%2C5.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d61650c9
VESPA Handbook,209,Attitude,A Dozen Noticeboards,Dwsin o Hysbysfyrddau,June,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/ATTITUDE/adozenoticeboards/slides.html"" width=""576"" height=""420"" title=""ATTITUDE - A Dozen Noticeboards"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20A%20Dozen%20Noticeboards%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d61650c2
VESPA Handbook,208,Attitude,"Check ahead, Check Back","Gwirio Ymlaen, Gwirio'n Ôl",January,VESPA Handbook,"<iframe src=""https://www.vespa.academy/assets/VESPAResources/VESPAHandbook/ATTITUDE/checkaheadcheckback/slides.html"" width=""576"" height=""420"" title=""ATTITUDE - Check ahead, Check Back"" allowfullscreen>
</iframe>
<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Check%20Ahead%2C%20Check%20Back%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d61650bb
VESPA Handbook,207,Attitude,NAF vs NAch,NAF vs NAch,October,VESPA Handbook,"<iframe src=""https://vespa-academy.slides.com/vespaslides/naf-vs-nach/embed?token=GgQuDi1S"" width=""576"" height=""420"" title=""ATTITUDE - NAF vs NAch"" allowfullscreen>
</iframe><hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Naf%20vs%20Nach%28editable%29.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />",,,,No,66cb9078ae5c8a02d61650b4
ALevel Mindset,85,Practice,Mechanical vs Flexible,Mecanyddol vs Hyblyg,March,ALevel Mindset,"<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTtjwXnhTxF34n2bIMNTW_4cCuio3bvT8i8xBnsfq_Ga98_7SkUUyui2EDYnHB3NLLreamdUTdngecQ/embed?start=false&loop=true&delayms=30000"" width=""480"" height=""299"" allowfullscreen=""true"">
</iframe>
<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P8-Mechanical vs Flexible.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />",,,,No,607f3e5c3b9a8f001d7a0106
