activity_id,name_eg,name_cy,Type,Book,Month,slides_url_cy
,1-10 Scale,Y Raddfa 1-10,EFFORT,ALevel Mind,September,https://vespa-academy.slides.com/vespaslides/y-raddfa-1-10/fullscreen?token=aOgOpm3J?mouseWheel=true
,10min Rule,Y Rheol 10 Munud,EFFORT,ALevel Mind,December,https://slides.com/vespaslides/y-rheol-10-munud?token=7uC_rYhZ?mouseWheel=true
,2-4-8 Rule,Y Rheol 2-4-8,SYSTEMS,ALevel Mind,December,
,20 Questions,20 cwestiwn,VISION,ALevel Mind,September,https://slides.com/vespaslides/yr-holiadur-adolygu/fullscreen?token=eolIIDuM?mouseWheel=true
,21st Birthday,Penblwydd 21ain,VISION,ALevel Mind,November,https://slides.com/vespaslides/gweledigaeth-gwireddu-breuddwydion/fullscreen?token=qVlFrUT-?mouseWheel=true
,3 R's of Habit,Arfer Y '3' A,EFFORT,ALevel Mind,October,https://slides.com/vespaslides/arfery3a/fullscreen?token=rkHuSuBN
,Breakfast Club,Y Clwb Brecwast,SYSTEMS,ALevel Mind,October,
,Eisnehower Matrix,Matrics Eisenhower,SYSTEMS,ALevel Mind,April,
,"Benefit Finding, aka Rocky Road",Dod o Hyd i Fudd (sef Rocky Road),ATTITUDE,GCSE Mind,April,
,High Flow Spaces,Mannau Llif Uchel,PRACTICE,GCSE Mind,April,
,Finding Flow,Dod o Hyd i Lif,PRACTICE,GCSE Mind,April,
,Now vs Most,Nawr yn erbyn y Mwyaf,VISION,GCSE Mind,April,
,The 3 How's of Independent Work,Y 3 Sut o Waith Annibynnol,EFFORT,GCSE Mind,December,
,The Practice Questionnaire,Holiadur Ymarfer,PRACTICE,GCSE Mind,December,
,It's Time to Teach aka CASTT,Mae’n Amser Addysgu (sef CASTT),PRACTICE,GCSE Mind,December,
,Setting a Personal Best,Gosod Gorau Personol,VISION,GCSE Mind,December,
,The Effort Thermometer,Thermomedr Ymdrech,EFFORT,GCSE Mind,February,
,Packing my Bags,Pacio Fy Magiau,EFFORT,GCSE Mind,February,
,25min Sprints,Sbrintiau 25 munud,EFFORT,GCSE Mind,February,
,Drivers & Thrivers,Gyrrwyr a Ffynnwyr,VISION,Handbook,,
,Sweet & Sour Summers,Hafau Melys a Sur,VISION,Handbook,,
,Ikigai,Ikigai,VISION,Handbook,,
,A Question of Money,Cwestiwn am Arian,VISION,Handbook,,
,Outcome Control,Rheoli Canlyniadau,VISION,Handbook,,
,The Paths are Well Lit,Mae’r Llwybrau’n Oleuedig,VISION,Handbook,,
,Twenty more Questions,Ugain Cwestiwn Arall,VISION,Handbook,,
,Lifestyle Envy vs Job Envy,Cenfigen Ffordd o Fyw yn erbyn Cenfigen Swydd,VISION,Handbook,,
,The Habits of Vision,Arferion Gweledigaeth,VISION,None,,
,Odyssey Planning,Cynllunio Odyssey,VISION,Handbook(old),,
,Energy Line,Y Llinell Egni,SYSTEMS,ALevel Mind,October,
,Failing Forwards,Symud Ymlaen Ar Ôl Methu,ATTITUDE,ALevel Mind,December,
,Fake It,Ffugio,VISION,ALevel Mind,February,https://slides.com/vespaslides/7-gweledigaeth/fullscreen?token=M2UzYPhT?mouseWheel=true
,Fix your dashboard,Creu Dy Ddangosfwrdd,VISION,ALevel Mind,December,https://slides.com/vespaslides/gweledigaeth-penblwydd-21ain/fullscreen?token=TsErM9jf?mouseWheel=true
,Force Field Analysis,Dadansoddi Meysydd Grym,ATTITUDE,ALevel Mind,January,
,Frogs and Bannisters,Brogaod a Chanllawiau Grisiau,EFFORT,ALevel Mind,November,
,Getting Dreams Done,Gwireddu breuddwydion,VISION,ALevel Mind,September,https://slides.com/vespaslides/20-cwestiwn?mouseWheel=true
,Graphic Organisers,Trefnyddion Gweledol,PRACTICE,ALevel Mind,February,
,The Nine Box Grid,Grid y Naw Blwch,PRACTICE,GCSE Mind,February,
,Will vs Skill,Ewyllys yn erbyn Sgil,PRACTICE,GCSE Mind,February,
,Success Leaves Clues,Mae Llwyddiant yn Gadael Cliwiau,VISION,GCSE Mind,February,
,Managing Reactions to Feedback,Rheoli Ymatebion i Adborth,ATTITUDE,GCSE Mind,January,
,The Bottom Left,Y Gornel Chwith Isaf,SYSTEMS,GCSE Mind,January,
,The Sunday Night Ritual,Defod Nos Sul,SYSTEMS,Handbook,,
,Night School,Ysgol Nos,SYSTEMS,Handbook,,
,"Pending, Doing, Done","Ar y Gweill, Wrthi’n Gwneud, Wedi’i Wneud",SYSTEMS,Handbook,,
,Boosters & Sappers (energy Makes Time),Hwbwyr a Suddwyr (Egni sy’n Creu Amser),SYSTEMS,Handbook,,
,The Catch-Up Week,Wythnos Dal i Fyny,SYSTEMS,Handbook,,
,"Have to, Ought to, Want to","Rhaid, Dylwn, Eisiau",SYSTEMS,Handbook,,
,Cornell Notes,Nodiadau Cornell,SYSTEMS,Handbook,,
,1% Planning,Cynllunio 1%,SYSTEMS,Handbook,,
,To Do Lists and Time Blocking,Rhestrau I’w Gwneud a Blocio Amser,SYSTEMS,None,,
,The Habits of Systems,Arferion Systemau,SYSTEMS,None,,
,Inner Storytelling,Adrodd stori fenol wrthot ti dy hun,EFFORT,ALevel Mind,December,
,Kill your Critic,Lladdwch Eich Beirniad,ATTITUDE,ALevel Mind,October,https://slides.com/vespaslides/lladdwch-eich-beirniad/fullscreen?token=BRt6lmcM
,Know the Skills,Adnabod Y Sgiliau,PRACTICE,ALevel Mind,March,
,Lead Domino,Y Domino Cyntaf,SYSTEMS,ALevel Mind,February,
,Learning from Mistakes,Dysgu O Dy Gamgymeriadau,PRACTICE,ALevel Mind,December,
,Leitner Box,Y Blwch Leitner,PRACTICE,ALevel Mind,April,
,Mechanical vs Flexible,Mecanyddol Neu Hyblyg,PRACTICE,ALevel Mind,March,
,Mental Contrasting,Gwrthgyferbyniad Meddyliol,VISION,ALevel Mind,March,https://slides.com/vespaslides/6-gweledigaeth/fullscreen?token=xcIMU81Y?mouseWheel=true
,Five Roads,Pum Ffordd,VISION,GCSE Mind,January,
,Ten Year Grid,Grid Deg Mlynedd,VISION,GCSE Mind,January,
,The Problem Solving Cycle,Cylch Datrys Problemau,ATTITUDE,GCSE Mind,March,
,K-SPA,K-SPA,PRACTICE,GCSE Mind,March,
,Test Yourself,Profi Dy Hun,PRACTICE,GCSE Mind,March,
,Spaced Practice,Ymarfer Gwasgaredig,PRACTICE,GCSE Mind,March,
,What's Stopping You,Beth sy’n Dy Rwystro,VISION,GCSE Mind,March,
,First Aid Kit,Pecyn Cymorth Cyntaf,ATTITUDE,GCSE Mind,May,
,Pre-Making Decision,Gwneud Penderfyniad ymlaen Llaw,EFFORT,GCSE Mind,May,
,The Battery,Y Batrii,ATTITUDE,GCSE Mind,November,
,High & Low Utility,Defnyddioldeb Uchel ac Isel,PRACTICE,Handbook,,
,Closed Book Notetaking,Cymryd Nodiadau gyda’r Llyfr ar Gau,PRACTICE,Handbook,,
,Verbal Recaps,Ail-grynhoi ar Lafar,PRACTICE,Handbook,,
,Test your Future Self,Profi Dy Hun yn y Dyfodol,PRACTICE,Handbook,,
,Cog P vs Cog A,Cog P yn erbyn Cog A,PRACTICE,Handbook,,
,The Command Verb Table,Tabl Berfau Gorchmynnol,PRACTICE,Handbook,,
,The Overnight Boost,Y Hwb Dros Nos,PRACTICE,Handbook,,
,Sticky Timetables,Amserlenni Gludiog,PRACTICE,Handbook,,
,The Habits of Practice,Arferion Ymarfer,PRACTICE,None,,
,Perfect Day,Y diwrnod perffaith,VISION,ALevel Mind,January,https://slides.com/vespaslides/4-gweledigaeth-creu-dy-ddangosfwrdd/fullscreen?token=63RiOxDJ?mouseWheel=true
,Project Progress Chart,Siart Cynnydd Prosiect,SYSTEMS,ALevel Mind,April,
,Recognising your blockers,Adnabod eich blocwyr.,EFFORT,ALevel Mind,November,https://slides.com/vespaslides/9-ymdrech-y-raddfa-1-10-8ab2a8/fullscreen?token=lEJqAAou?mouseWheel=true
,"Right, Wrong, Right","Cywir,Anghywir,Cywir",PRACTICE,ALevel Mind,January,
,Smart Goals,Nodau Smart,VISION,ALevel Mind,January,https://slides.com/vespaslides/5-gweledigaeth-y-diwrnod-perffaith/fullscreen?token=ufUExUR2?mouseWheel=true
,Snack don't Binge,"Snacio, nid stwffio!",SYSTEMS,ALevel Mind,November,
,Stand Tall,Sefyll Yn Dalsyth,ATTITUDE,ALevel Mind,May,
,Stopping Negative Thoughts,Stopio Meddyliau Negyddol,ATTITUDE,ALevel Mind,March,
,Network Audits,Archwiliadau Rhwydwaith,ATTITUDE,GCSE Mind,November,
,Looking Under Rocks,Edrych o Dan Greigiau,EFFORT,GCSE Mind,November,
,Building Independent Learning,Adeiladu Dysgu Annibynnol,PRACTICE,GCSE Mind,November,
,3 Types of Attention,3 Math o Sylw,SYSTEMS,GCSE Mind,November,
,The Weekly Planner,Y Cynlluniwr Wythnosol,SYSTEMS,GCSE Mind,October,
,Chunking Steps,Darnio Camau,SYSTEMS,GCSE Mind,October,
,The Roadmap,Y Map Ffordd,VISION,GCSE Mind,October,
,Proactive vs Re-Active,Rhagweithiol yn erbyn Adweithiol,EFFORT,Handbook,,
,The Peleton,Y Peloton,EFFORT,Handbook,,
,Becoming Indestractable,Dod yn Anodd ei Dynnu Sylw,EFFORT,Handbook,,
,Disruption Cost and Deep Work,Cost Torri Ar Draws a Gwaith Dwfn,EFFORT,Handbook,,
,Questify,Questify,EFFORT,Handbook,,
,Activating and Sustaining,Actifadu a Chynnal,EFFORT,Handbook,,
,The Clarity Countdown (A safety system for difficult topics),Y Cyfrif i Lawr Eglurder (System ddiogelwch ar gyfer pynciau anodd),EFFORT,Handbook,,
,Red Flag Rescue Plans,Cynlluniau Achub Baner Goch,EFFORT,Handbook,,
,The Habits of Effort,Arferion Ymdrech,EFFORT,None,,
,STQR,STQR,SYSTEMS,ALevel Mind,January,
,The Change Curve,Y Gromlin Newid,ATTITUDE,ALevel Mind,September,
,The Power of If,Y pwer o feddwl os / yna,EFFORT,ALevel Mind,February,
,The Revison Questionnaire,Yr Holiadur Adolygu,PRACTICE,ALevel Mind,October,https://slides.com/vespaslides/yr-holiadur-adolygu-c718ba/fullscreen?token=QPP88LZg
,There and Back,Yno Ac Yn Ôl,ATTITUDE,ALevel Mind,May,
,"Two Slow, One Fast","Day Araf, Un Cyflym",PRACTICE,ALevel Mind,April,
,Vampire Test,Prawf y Fampir,ATTITUDE,ALevel Mind,September,https://slides.com/vespaslides/6-gweledigaeth-nodau-smart/fullscreen?token=ZxSSSiCu?mouseWheel=true
,Working Weeks,Wythnosau Gweithio,EFFORT,ALevel Mind,February,https://slides.com/vespaslides/9-ymdrech-y-raddfa-1-10-8ab2a8/fullscreen?token=lEJqAAou?mouseWheel=true
,Th Rule of Three,Rheol y Tri,VISION,GCSE Mind,October,
,Grit,Dygnwch,VISION,GCSE Mind,October,
,Problem Not Job - Personal Compass,"Problem, Nid Swydd – Cwmpawd Personol",VISION,GCSE Mind,September,
,Growth Mindset,Meddylfryd Twf,ATTITUDE,GCSE Mind,September,
,Mission and Medal,Cenhadaeth a Medal,EFFORT,GCSE Mind,September,
,The Action Priority Matrix,Matrics Blaenoriaeth Gweithredu,SYSTEMS,GCSE Mind,September,
,Motivation Diamond,Diemwnt Cymhelliant,VISION,GCSE Mind,September,
,NAF vs NAch,NAF yn erbyn NAch,ATTITUDE,Handbook,,
,"Check ahead, Check Back","Gwirio Ymlaen, Gwirio’n Ôl",ATTITUDE,Handbook,,
,A Dozen Noticeboards,Dwsin o Fyrddau Hysbysu,ATTITUDE,Handbook,,
,"5,5,5","5, 5, 2005",ATTITUDE,Handbook,,
,O.D.A,O.D.A,ATTITUDE,Handbook,,
,Think Three Positives,Meddwl am Dri Peth Cadarnhaol,ATTITUDE,Handbook,,
,The myth of the Curve,Myth y Gromlin,ATTITUDE,Handbook,,
,Worst Case Scenarios,Senarios Achos Gwaethaf,ATTITUDE,Handbook,,
,The Habits of Attitude,Arferion Agwedd,ATTITUDE,None,,
,Making Luck,Creu Lwc,ATTITUDE,None,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
