id,name_cy,slides_url_cy
61d91f9c-8125-4e2d-8ec8-a3946b1508d6,Y Raddfa 1-10,https://vespa-academy.slides.com/vespaslides/y-raddfa-1-10/fullscreen?token=aOgOpm3J?mouseWheel=true
9c3c16f9-00b4-459c-9bca-4eb6b1235170,Y Rheol 10 Munud,https://slides.com/vespaslides/y-rheol-10-munud?token=7uC_rYhZ?mouseWheel=true
ea2b3b53-314f-409d-bb60-9fd8459aaba9,Y Rheol 2-4-8,
7d27666e-71b7-4493-b17d-b925174edf6e,20 cwestiwn,https://vespa-academy.slides.com/vespaslides/20-cwestiwn/fullscreen?token=q0C1pxt5?mouseWheel=true
fa23d485-d657-4a24-825b-76361fdd5a02,Penblwydd 21ain,https://slides.com/vespaslides/gweledigaeth-gwireddu-breuddwydion/fullscreen?token=qVlFrUT-?mouseWheel=true
b8c9b21a-b88d-412b-8217-e33710e0af78,Arfer Y '3' A,https://slides.com/vespaslides/arfery3a/fullscreen?token=rkHuSuBN?mouseWheel=true
8a9bbba7-fce5-4191-ba74-f16daded5278,Y Clwb Brecwast,
0b373d45-66bc-49e8-8f82-958754b90847,Matrics Eisenhower,
83af765c-61ea-4203-9fb1-e05dde887785,Y Llinell Egni,
0d8f7400-fb3a-421f-8ca1-d8fc5b86a8ac,Symud Ymlaen Ar Ôl Methu,
834f3eb1-1ff9-425d-8ce2-ddeb7bfa22f3,Ffugio,https://vespa-academy.slides.com/vespaslides/ffugio/fullscreen?token=oxgxt0r3?mouseWheel=true
61d7d1fe-4f5b-4ee5-b176-7e47638ce727,Creu Dy Ddangosfwrdd,https://vespa-academy.slides.com/vespaslides/creu-dy-ddangosfwrdd/fullscreen?token=yn02hva2?mouseWheel=true
268e6d9b-aea1-4f84-8221-7139c888d3fe,Dadansoddi Meysydd Grym,
aee1d0bf-3196-441c-9cd3-5f13b30cbabb,Brogaod a Chanllawiau Grisiau,
330d621a-b826-4767-a3c9-4d88ede5b109,Gwireddu breuddwydion,https://vespa-academy.slides.com/vespaslides/gwireddu-breuddwydion/fullscreen?token=lhFaRXJO?mouseWheel=true
feb558ea-fe77-4184-a9ea-550be7ffcacf,Trefnyddion Gweledol,
71e43707-d73c-49d0-aac1-ae95457269b2,Adrodd stori fenol wrthot ti dy hun,
3afc9969-2093-433d-b8f5-9bb3445b30ed,Lladdwch Eich Beirniad,https://vespa-academy.slides.com/vespaslides/lladdwch-eich-beirniad/fullscreen?token=ujht1-aU?mouseWheel=true
e19b7b69-fb61-4800-a435-86c9a0b8f50c,Adnabod Y Sgiliau,
e00eeaf4-fc4f-443e-8def-d95c1dffa735,Y Domino Cyntaf,
48d14ff0-07c1-40fd-9e61-368a84e00c2c,Dysgu O Dy Gamgymeriadau,
6be5eb60-23c9-4503-9d56-8c4a3f4ca08f,Y Blwch Leitner,
44970bdc-2311-4e38-b9f4-aa003c4d660e,Mecanyddol Neu Hyblyg,
4e46fef2-2ed6-41f3-94be-2d1db5942c63,Gwrthgyferbyniad Meddyliol,https://vespa-academy.slides.com/vespaslides/gwrthgyferbyniad-meddyliol/fullscreen?token=ik6LuZNa?mouseWheel=true
632dd678-a682-43e5-bc4d-ed05179513fe,Y diwrnod perffaith,https://vespa-academy.slides.com/vespaslides/y-diwrnod-perffaith/fullscreen?token=jmj6jJh_?mouseWheel=true
20675111-83f5-426f-94ad-c855cd4909c7,Siart Cynnydd Prosiect,
7605ce58-9bce-42f6-8b15-b9558dd65347,Adnabod eich blocwyr.,
06d727a6-caff-4675-9afe-aa1da05437a6,Cywir,Anghywir,Cywir,
1ac06645-e628-42e3-a509-4169fbe0bca9,Nodau Smart,https://vespa-academy.slides.com/vespaslides/nodau-smart/fullscreen?token=aYvR38bJ?mouseWheel=true
dc1e1940-c8da-4115-9a94-c536f1c5782c,Snacio, nid stwffio!,
87fdbe53-61c1-42f9-9f2c-d7733d63ee91,Sefyll Yn Dalsyth,
5aba2d5f-4388-49a7-89d4-ca02143a3586,Stopio Meddyliau Negyddol,
fa7fbda4-0704-4564-9165-9c9fe7b7cdd5,STQR,
8b360715-68ec-47f2-9886-0a504696f98b,Y Gromlin Newid,
62f28943-0ccc-44bd-ac43-3a0780429515,Y pwer o feddwl os / yna,
607fb741-78f9-4657-ab76-16f5f863a353,Yr Holiadur Adolygu,https://slides.com/vespaslides/yr-holiadur-adolygu-c718ba/fullscreen?token=QPP88LZg?mouseWheel=true
616745e3-eacf-4c52-a1c0-9f723ec1e873,Yno Ac Yn Ôl,
885c991c-21ee-462b-9305-85a3174da04f,Day Araf, Un Cyflym,
6326a2d4-c3b5-46b3-88ea-8354eeaba630,Prawf y Fampir,
aadb04c0-781c-4397-a097-0127141be79a,Wythnosau Gweithio,
